Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
38,Can't Feel My Face,The Weeknd,r&b,2015,108,77,71,-6,11,58,214,11,4,85
39,Pumped Up Kicks,Foster The People,rock,2011,128,71,73,-6,10,97,240,14,3,85
40,Ride,Twenty One Pilots,rock,2015,75,71,65,-5,11,57,215,1,4,85
41,SLOW DANCING IN THE DARK,Joji,pop,2018,89,48,52,-7,19,28,209,54,3,84
42,Don't,Bryson Tiller,hip hop,2015,97,36,77,-6,10,19,198,22,20,84
43,Jocelyn Flores,XXXTENTACION,hip hop,2017,134,39,87,-9,30,44,119,47,24,84
44,R U Mine?,Arctic Monkeys,rock,2013,97,76,29,-6,30,62,202,1,4,84
45,Congratulations,Post Malone,hip hop,2016,123,80,63,-4,25,49,220,22,4,84
46,Doin' Time,Lana Del Rey,pop,2019,145,56,64,-11,9,52,202,40,4,84
47,Bored,Billie Eilish,pop,2017,120,32,61,-13,8,11,181,90,5,84
48,XO Tour Llif3,Lil Uzi Vert,hip hop,2017,155,75,73,-6,11,40,183,0,23,83
49,Brooklyn Baby,Lana Del Rey,pop,2014,108,66,40,-7,11,9,352,54,4,83
50,Streets,Doja Cat,pop,2019,90,46,75,-8,34,19,227,21,8,83
51,SAD!,XXXTENTACION,hip hop,2018,75,61,74,-5,12,47,167,26,14,83
52,Feel So Close - Radio Edit,Calvin Harris,pop,2012,128,92,71,-3,20,92,206,0,3,83
53,Time of Our Lives,Pitbull,pop,2014,124,80,72,-6,69,72,229,9,6,83
54,Wildest Dreams,Taylor Swift,pop,2014,140,66,55,-7,11,47,220,7,7,83
55,Young Dumb & Broke,Khalid,pop,2017,137,54,80,-6,17,39,203,20,4,82
56,Ransom,Lil Tecca,hip hop,2019,180,64,75,-6,7,23,131,2,29,82
57,Electric Love,BØRNS,pop,2015,120,80,61,-8,26,52,218,1,5,82
58,idontwannabeyouanymore,Billie Eilish,pop,2017,170,41,48,-8,12,25,204,74,4,82
59,Stolen Dance,Milky Chance,pop,2013,114,58,88,-9,8,73,314,43,4,82
60,Little Talks,Of Monsters and Men,pop,2012,103,76,46,-5,15,42,267,2,3,82
61,Super Bass,Nicki Minaj,hip hop,2010,127,86,72,-4,60,67,200,27,20,82
62,All I Want,Kodaline,pop,2013,187,41,19,-10,8,16,306,17,5,82
63,Budapest,George Ezra,pop,2014,128,46,72,-8,11,39,201,8,3,82
64,Wait a Minute!,WILLOW,pop,2015,101,71,76,-5,9,67,197,4,3,81
65,I Fall Apart,Post Malone,hip hop,2016,144,54,56,-5,20,29,223,7,4,81
66,Midnight City,M83,pop,2011,105,73,51,-5,7,27,244,2,4,81
67,Beauty And A Beat,Justin Bieber,pop,2012,128,84,60,-5,7,53,228,0,6,81
68,We Are Young (feat. Janelle Monáe),fun.,pop,2012,184,64,38,-6,8,74,251,2,8,81
69,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,hip hop,2017,129,81,84,-5,12,81,209,50,6,80
70,Exchange,Bryson Tiller,hip hop,2015,160,43,53,-11,14,28,195,11,19,80
71,Hotline Bling,Drake,hip hop,2016,135,63,89,-8,5,55,267,0,6,80
72,Ophelia,The Lumineers,pop,2016,76,57,66,-7,9,57,160,61,3,80
73,Psycho (feat. Ty Dolla $ign),Post Malone,hip hop,2018,140,56,75,-8,11,46,221,55,11,80
74,FourFiveSeconds,Rihanna,pop,2015,206,27,58,-6,13,35,188,88,5,80
75,Love Me Harder,Ariana Grande,pop,2014,99,71,47,-4,8,24,236,1,3,80
76,Love Galore (feat. Travis Scott),SZA,pop,2017,135,59,80,-6,16,41,275,11,7,79
77,Location,Khalid,pop,2017,80,45,74,-11,9,33,219,33,43,79
78,Bank Account,21 Savage,hip hop,2017,75,35,88,-8,9,38,220,2,35,79
79,Team,Lorde,pop,2013,100,58,69,-7,31,42,193,17,9,79
80,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,hip hop,2011,95,66,72,-6,12,53,207,5,14,79
81,Memories (feat. Kid Cudi),David Guetta,pop,2010,130,92,55,-4,25,38,211,0,26,79
82,Work,Rihanna,pop,2016,92,53,73,-6,9,56,219,8,9,79
83,8TEEN,Khalid,pop,2017,105,59,83,-6,6,64,229,23,4,78
84,Too Good,Drake,hip hop,2016,118,65,79,-8,10,40,263,5,10,78
85,Nights Like This (feat. Ty Dolla $ign),Kehlani,pop,2019,146,73,61,-5,15,29,202,37,15,78
86,1-800-273-8255,Logic,hip hop,2017,100,57,62,-8,19,36,250,57,5,78
87,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,pop,2017,101,75,89,-3,9,87,223,6,6,78
88,"break up with your girlfriend, i'm bored",Ariana Grande,pop,2019,170,55,73,-5,11,34,190,4,9,78
89,Ho Hey,The Lumineers,pop,2012,80,47,69,-9,9,35,163,79,3,78
90,Stay,Rihanna,pop,2012,112,31,62,-10,12,13,241,95,3,78
91,Malibu,Miley Cyrus,pop,2017,140,78,57,-6,8,34,232,8,6,78
92,The Weekend,SZA,pop,2017,73,37,40,-9,13,16,272,24,6,77
93,Best Friend,Rex Orange County,pop,2017,145,71,58,-5,12,32,262,40,6,77
94,3 Nights,Dominic Fike,pop,2018,152,52,82,-7,10,88,178,22,9,77
95,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,hip hop,2016,108,43,89,-10,9,23,177,3,14,77
96,Latch,Disclosure,electronic,2013,122,73,50,-5,9,52,256,2,17,77
97,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,hip hop,2017,98,67,67,-3,12,63,204,3,7,77
98,Middle,DJ Snake,electronic,2016,105,70,58,-5,5,22,221,1,4,77
99,Eastside (with Halsey & Khalid),benny blanco,pop,2018,89,68,56,-8,12,32,174,56,32,77
100,California Gurls,Katy Perry,pop,2012,125,75,79,-4,16,43,235,0,6,77
101,"Hold On, We're Going Home",Drake,hip hop,2013,100,41,77,-7,7,29,228,0,10,76
102,Swang,Rae Sremmurd,hip hop,2016,140,31,68,-9,10,17,208,20,6,76
103,Antidote,Travis Scott,hip hop,2015,131,53,71,-5,12,13,263,1,3,76
104,Black Skinhead,Kanye West,hip hop,2013,130,81,77,-6,17,33,188,0,28,76
105,What You Know,Two Door Cinema Club,rock,2010,139,75,55,-4,9,83,190,0,4,76
106,Ain't It Fun,Paramore,pop,2013,104,89,61,-4,2,67,297,15,9,76
107,I Don't Fuck With You,Big Sean,hip hop,2015,98,73,82,-5,33,40,284,4,6,76
108,679 (feat. Remy Boyz),Fetty Wap,hip hop,2015,190,72,62,-6,63,60,197,0,32,76
109,Love Lies (with Normani),Khalid,pop,2018,144,65,71,-6,13,34,202,10,4,76
110,Mine,Bazzi,pop,2018,143,79,71,-4,45,72,131,2,7,76
111,Habits (Stay High),Tove Lo,pop,2014,110,65,73,-4,8,35,209,7,3,76
112,Roses,The Chainsmokers,pop,2015,100,80,71,-7,31,34,227,4,6,76
113,Mirror,Lil Wayne,hip hop,2011,74,62,33,-7,10,40,228,86,9,76
114,Please Me,Cardi B,pop,2019,134,57,75,-7,8,65,201,6,8,76
115,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2017,105,86,70,-5,2,93,217,2,10,76
116,Dark Necessities,Red Hot Chili Peppers,rock,2016,92,74,70,-7,11,20,302,7,7,75
117,Loyal (feat. Lil Wayne & Tyga),Chris Brown,hip hop,2014,99,52,84,-6,19,62,265,2,5,75
118,Slide (feat. Frank Ocean & Migos),Calvin Harris,pop,2017,104,80,74,-3,25,51,231,50,5,74
119,Drunk in Love (feat. Jay-Z),Beyoncé,pop,2014,140,62,58,-7,18,40,323,1,5,74
120,iSpy (feat. Lil Yachty),KYLE,hip hop,2016,75,65,75,-7,23,67,253,38,29,73
121,Panini,Lil Nas X,hip hop,2019,154,59,70,-6,12,48,115,34,8,73
122,You Know You Like It,DJ Snake,electronic,2014,196,73,41,-5,31,25,247,1,19,73
123,Jackie Chan,Tiësto,pop,2018,128,83,75,-3,6,69,216,37,5,73
124,Pray For Me (with Kendrick Lamar),The Weeknd,r&b,2018,101,68,74,-5,11,19,211,8,9,72
125,Someone New,Hozier,pop,2014,184,53,44,-6,33,60,223,43,5,72
126,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,electronic,2015,95,52,68,-6,11,18,230,12,14,72
127,1950,King Princess,pop,2018,72,54,60,-7,16,27,225,65,11,72
128,Riptide,Vance Joy,pop,2014,102,72,50,-7,11,44,202,46,3,72
129,Bounce Back,Big Sean,hip hop,2017,82,57,78,-6,13,27,222,11,14,71
130,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,pop,2014,97,68,73,-6,21,70,227,7,4,71
131,Trap Queen,Fetty Wap,hip hop,2015,148,87,75,-4,35,82,222,2,13,69
132,Started From the Bottom,Drake,hip hop,2013,86,52,79,-8,16,56,174,3,16,69
133,Tiimmy Turner,Desiigner,hip hop,2016,123,73,60,-3,8,30,240,17,4,68
134,Don't Mind,Kent Jones,hip hop,2016,159,77,46,-5,6,69,198,2,34,67
135,6 Foot 7 Foot,Lil Wayne,hip hop,2011,79,75,37,-5,32,60,249,0,30,66
136,Never Be Like You,Flume,electronic,2016,120,59,54,-4,14,27,235,45,5,66
137,Somebody That I Used To Know,Gotye,pop,2011,129,52,86,-7,9,76,245,57,4,66
138,Fuck You,CeeLo Green,hip hop,2010,127,88,69,-4,12,75,224,19,6,65
139,Vossi Bop,Stormzy,hip hop,2019,188,65,68,-6,13,43,196,13,34,63
140,Born To Die,Lana Del Rey,pop,2012,75,64,18,-7,22,39,286,21,4,63
141,1999,Charli XCX,pop,2018,124,74,74,-5,23,66,189,2,3,63
142,Truth Hurts,Lizzo,pop,2019,158,62,72,-3,12,41,173,11,11,62
143,Bodak Yellow,Cardi B,pop,2017,125,72,93,-6,35,46,224,7,11,59
144,Somebody Else,The 1975,rock,2016,101,79,62,-6,13,46,348,20,6,57
145,Adorn,Miguel,r&b,2012,179,58,63,-6,19,24,193,5,18,56
146,Gold,Kiiara,pop,2015,113,41,60,-9,13,41,226,62,34,56
147,It's Not Living (If It's Not With You),The 1975,rock,2018,121,84,62,-5,6,53,248,0,3,54
148,Chocolate,The 1975,rock,2013,100,93,61,-5,37,60,225,0,7,53
149,HUMBLE.,Kendrick Lamar,hip hop,2017,150,62,91,-7,10,42,177,0,10,49
150,Nothin' on You (feat. Bruno Mars),B.o.B,hip hop,2010,104,85,69,-6,9,74,268,39,5,49
